pID,UTC,Prd,PrdNorm,Irr
Ortona,2024-02-19 19:00:00+00:00,0.0,0.0,0.3371666666666666
Ortona,2024-02-19 20:00:00+00:00,0.0,0.0,0.33
Ortona,2024-02-19 21:00:00+00:00,0.0,0.0,0.32749999999999996
Ortona,2024-02-19 22:00:00+00:00,0.0,0.0,0.32366666666666677
Ortona,2024-02-19 23:00:00+00:00,0.0,0.0,0.31416666666666665
Ortona,2024-02-20 00:00:00+00:00,0.0,0.0,0.3096666666666667
Ortona,2024-02-20 01:00:00+00:00,0.0,0.0,0.4175000000000001
Ortona,2024-02-20 02:00:00+00:00,0.0,0.0,0.3006666666666665
Ortona,2024-02-20 03:00:00+00:00,0.0,0.0,0.31116666666666665
Ortona,2024-02-20 04:00:00+00:00,0.0,0.0,0.2993333333333333
Ortona,2024-02-20 05:00:00+00:00,0.0,0.0,0.2948333333333332
Ortona,2024-02-20 06:00:00+00:00,23.484166666666667,1.0447196176156022e-05,0.2941666666666666
Ortona,2024-02-20 07:00:00+00:00,16515.51333333323,0.007315982009486725,8.012666666666664
Ortona,2024-02-20 08:00:00+00:00,103869.86833333322,0.046051724114887296,50.11083333333333
Ortona,2024-02-20 09:00:00+00:00,370823.2916666666,0.16438257145448215,196.57949999999997
Ortona,2024-02-20 10:00:00+00:00,594306.8491666666,0.2635654359362286,312.7113333333334
Ortona,2024-02-20 11:00:00+00:00,561126.5508333333,0.24889222323991117,281.50866666666667
Ortona,2024-02-20 12:00:00+00:00,1312629.2291666667,0.5818071346703639,714.6058333333333
Ortona,2024-02-20 13:00:00+00:00,1480473.185,0.6561865815611259,789.8826666666666
Ortona,2024-02-20 14:00:00+00:00,1292339.0474999999,0.5729354751500535,655.7459999999999
Ortona,2024-02-20 15:00:00+00:00,861473.2483333333,0.3822821735362566,466.04033333333336
Ortona,2024-02-20 16:00:00+00:00,368830.4849999999,0.16357433485421188,264.35800000000006
Ortona,2024-02-20 17:00:00+00:00,25839.108333333214,0.011453697444906104,22.404333333333337
